Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
PLI_User_TC06/api/v1/rolesFormData?menuId=74e89f2e-c55f-4dce-8939-8f858661a139&submenuId=a8c17167-3feb-4518-b3d5-4b985e572fdc-209,859,227,223,230,231,238,213,1546,0.000%,.24010,0.08,0.29
PLI_User_TC06/api/v1/projectForm?projectNumber=4321&submenuId=ac022d02-6398-4875-85dd-955e698acca2-211,859,225,223,230,231,239,212,935,0.000%,.24010,0.08,0.29
PLI_User_TC06/api/v1/leadList-213,4,246,245,248,248,248,245,248,0.000%,4.26439,6.02,6.23
PLI_User_TC06/api/v1/rolesFormData-215,4,235,236,237,237,237,231,237,0.000%,4.30108,1.98,6.22
PLI_User_TC06/api/v1/getusers-212,4,252,253,253,253,253,250,253,0.000%,4.20168,10.03,5.68
PLI_User_TC06/api/v1/projectForm-214,4,303,303,306,306,306,299,306,0.000%,3.97219,5.47,5.65
PLI_User_TC06/api/v1/rolesFormData?menuId=74e89f2e-c55f-4dce-8939-8f858661a139&submenuId=a8c17167-3feb-4518-b3d5-4b985e572fdc-216,859,225,223,230,231,234,213,1406,0.000%,.24017,0.08,0.29
PLI_User_TC06/api/v1/getusers-217,858,224,223,230,231,235,212,1216,0.000%,.24025,0.08,0.27
PLI_User_TC06/api/v1/leadList?menuId=7f07ff30-d409-4768-885a-f82b120ef7d9&submenuId=6d3a0496-2868-4235-917b-146c34e12a28&projectNumber=4321-218,858,225,223,230,231,241,213,1296,0.000%,.24025,0.08,0.30
PLI_User_TC06/api/v1/projectForm?projectNumber=4321&submenuId=6d3a0496-2868-4235-917b-146c34e12a28-219,858,224,223,230,231,237,212,932,0.000%,.24025,0.08,0.29
PLI_User_TC06/api/v1/leadList-222,4,269,248,336,336,336,246,336,0.000%,4.03226,3.86,5.89
PLI_User_TC06/api/v1/projectForm-223,4,356,349,392,392,392,300,392,0.000%,3.64964,5.14,5.19
PLI_User_TC06/api/v1/leadList?menuId=7f07ff30-d409-4768-885a-f82b120ef7d9&submenuId=92d281d3-d76b-4c7c-ac40-527767d97354&projectNumber=4321-224,858,226,223,230,232,240,212,1325,0.000%,.24029,0.08,0.30
PLI_User_TC06/api/v1/projectForm?projectNumber=4321&submenuId=92d281d3-d76b-4c7c-ac40-527767d97354-226,858,224,223,230,231,235,213,1080,0.000%,.24029,0.08,0.29
PLI_User_TC06/api/v1/leadList-228,4,261,255,286,286,286,250,286,0.000%,3.76294,5.21,5.50
PLI_User_TC06/api/v1/projectForm-229,4,309,307,324,324,324,298,324,0.000%,3.62976,4.91,5.16
PLI_User_TC06/api/v1/rolesFormData?menuId=74e89f2e-c55f-4dce-8939-8f858661a139&submenuId=a8c17167-3feb-4518-b3d5-4b985e572fdc-230,858,226,223,230,231,238,213,1443,0.000%,.24033,0.08,0.29
PLI_User_TC06/api/v1/getusers-231,858,225,223,230,231,237,212,894,0.000%,.24033,0.08,0.27
PLI_User_TC06/api/v1/leadList?menuId=7f07ff30-d409-4768-885a-f82b120ef7d9&submenuId=7ce875bf-1ec8-44e7-854d-2bc2a9de9b57&projectNumber=4321-232,858,226,223,230,231,238,213,1382,0.000%,.24033,0.08,0.30
PLI_User_TC06/api/v1/projectForm?projectNumber=4321&submenuId=7ce875bf-1ec8-44e7-854d-2bc2a9de9b57-233,858,226,223,230,231,239,212,1154,0.000%,.24033,0.08,0.29
PLI_User_TC06/api/v1/leadList-236,4,249,246,260,260,260,240,260,0.000%,3.64964,3.50,5.33
PLI_User_TC06/api/v1/projectForm-237,4,304,304,310,310,310,298,310,0.000%,3.44828,4.86,4.90
PLI_User_TC06/api/v1/projectForm?projectNumber=4321&submenuId=c1e77643-d7e7-408a-bd2a-132edc2d0aa1-240,858,225,223,230,232,243,213,889,0.000%,.24036,0.08,0.29
PLI_User_TC06/api/v1/leadList?menuId=7f07ff30-d409-4768-885a-f82b120ef7d9&submenuId=c1e77643-d7e7-408a-bd2a-132edc2d0aa1&projectNumber=4321-239,858,229,223,230,231,244,213,1753,0.000%,.24036,0.08,0.30
PLI_User_TC06/api/v1/leadList-244,4,246,246,251,251,251,240,251,0.000%,3.54296,5.03,5.18
PLI_User_TC06/api/v1/projectForm-243,4,309,304,325,325,325,296,325,0.000%,3.29489,4.56,4.68
PLI_User_TC06/api/v1/rolesFormData?menuId=74e89f2e-c55f-4dce-8939-8f858661a139&submenuId=a8c17167-3feb-4518-b3d5-4b985e572fdc-245,858,230,223,230,231,244,212,1759,0.000%,.24040,0.08,0.29
