Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
PLI_User_TC06/api/v1/leadList?menuId=7f07ff30-d409-4768-885a-f82b120ef7d9&submenuId=a33d4172-b921-4b9d-9502-bdcd1d7ea754&projectNumber=4321-248,209,239,227,231,232,236,213,2000,0.000%,.05857,0.02,0.07
PLI_User_TC06/api/v1/getusers-246,209,225,227,231,231,233,213,236,0.000%,.05857,0.02,0.07
PLI_User_TC06/api/v1/leadList-251,1,250,250,250,250,250,250,250,0.000%,4.00000,3.82,5.86
PLI_User_TC06/agpi/v1/projectForm-250,1,309,309,309,309,309,309,309,0.000%,3.23625,4.53,4.61
PLI_User_TC06/api/v1/projectForm?projectNumber=4321&submenuId=e7a07067-5c6e-4c20-a4a0-6409ff5fc5d0-255,209,234,227,231,232,239,213,2002,0.000%,.05858,0.02,0.07
PLI_User_TC06/api/v1/leadList?menuId=7f07ff30-d409-4768-885a-f82b120ef7d9&submenuId=e7a07067-5c6e-4c20-a4a0-6409ff5fc5d0&projectNumber=4321-254,209,231,227,231,232,237,213,1240,0.000%,.05858,0.02,0.07
PLI_User_TC06/api/v1/leadList-259,1,254,254,254,254,254,254,254,0.000%,3.93701,4.20,5.76
PLI_User_TC06/api/v1/projectForm-258,1,346,346,346,346,346,346,346,0.000%,2.89017,2.97,4.12
PLI_User_TC06_AssignProjectLeads_Page,209,5560,5464,5562,6650,7235,5140,10600,0.000%,.05842,0.46,1.69
PLI_User_TC07/static/media/icon-loading.0f0a4fde.svg-261,209,555,244,1592,1995,2192,225,2397,0.000%,.05856,0.08,0.04
PLI_User_TC07/api/v1/menuItems?projectNumber=4321&menuId=08c96ee1-9722-4613-8c46-68e0e9205e94-265,209,257,227,232,235,1255,213,1563,0.000%,.05856,0.02,0.07
PLI_User_TC07/api/v1/menuItems?projectNumber=4321&stateKey=setUpInProgress-264,209,226,227,231,232,236,213,276,0.000%,.05856,0.02,0.07
PLI_User_TC07/api/v1/menuItems-266,1,479,479,479,479,479,479,479,0.000%,2.08768,2.84,2.96
PLI_User_TC07/api/v1/wbsForms?projectNumber=4321&submenuId=d6c4e8d0-ec05-4956-a531-a04a18df3b72-268,209,234,227,231,233,241,213,1772,0.000%,.05857,0.02,0.07
PLI_User_TC07/api/v1/wbsForms-269,1,258,258,258,258,258,258,258,0.000%,3.87597,4.09,5.51
PLI_User_TC07/api/v1/wbsForms?projectNumber=4321&submenuId=2d906856-8f45-454d-a3ad-635844ad0a9c-271,209,232,227,231,232,240,213,1549,0.000%,.05858,0.02,0.07
PLI_User_TC07/api/v1/wbsForms-272,1,287,287,287,287,287,287,287,0.000%,3.48432,4.76,4.95
PLI_User_TC07/api/v1/wbsForms?projectNumber=4321&submenuId=c31aa4b0-3798-4a37-9bda-9b1e2c760849-277,209,232,227,231,232,235,213,1564,0.000%,.05858,0.02,0.07
PLI_User_TC07/api/v1/wbsForms-278,1,423,423,423,423,423,423,423,0.000%,2.36407,64.66,3.36
PLI_User_TC07/api/v1/wbsForms?projectNumber=4321&submenuId=0601f7da-d7f9-4e5b-8b40-ac55a9bd41e3-279,209,226,227,231,232,236,213,237,0.000%,.05859,0.02,0.07
PLI_User_TC07/api/v1/wbsForms-280,1,262,262,262,262,262,262,262,0.000%,3.81679,4.06,5.42
PLI_User_TC07_WBSInformation_Page,208,1968,1614,3165,3389,3840,1523,4843,0.000%,.05856,0.20,0.46
PLI_User_TC08/api/v1/menuItems?projectNumber=4321&stateKey=setUpInProgress-285,208,232,227,231,232,236,213,1489,0.000%,.05861,0.02,0.07
PLI_User_TC08/api/v1/menuItems?projectNumber=4321&menuId=3514b4bd-c8d3-4c85-a5d7-211c0acfa81d-286,208,226,227,231,233,237,213,240,0.000%,.05861,0.02,0.07
PLI_User_TC08/api/v1/menuItems-287,1,534,534,534,534,534,534,534,0.000%,1.87266,1.71,2.66
PLI_User_TC08/api/v1/importManHours?projectNumber=4321&submenuId=c63a43b7-bfc4-445d-b949-23ae9b4f1bb1-289,208,234,227,231,232,237,213,1974,0.000%,.05862,0.02,0.07
PLI_User_TC08/api/v1/importManHours-290,1,257,257,257,257,257,257,257,0.000%,3.89105,8.43,5.55
PLI_User_TC08/static/media/sortArrows.36d08665.svg-291,208,241,242,250,252,258,222,261,0.000%,.05862,0.03,0.04
PLI_User_TC08/api/v1/importManHours?projectNumber=4321&submenuId=6ba185fb-0266-4b5d-96c9-d482447834af-293,208,242,227,232,232,239,213,2215,0.000%,.05862,0.02,0.07
PLI_User_TC08/api/v1/importManHours-294,1,285,285,285,285,285,285,285,0.000%,3.50877,9.00,5.01
PLI_User_TC08/api/v1/importManHours?projectNumber=4321&submenuId=a383c497-fd2c-4bab-b422-dce708f9bbec-296,208,226,227,231,232,235,213,239,0.000%,.05863,0.02,0.07
PLI_User_TC08/api/v1/importManHours-297,1,290,290,290,290,290,290,290,0.000%,3.44828,6.76,4.92
